rank,rating,team
1,1.06426741678423,Arizona
2,1.046501026695729,Villanova
3,1.0431295487329582,Tennessee
4,1.0295885898245285,Gonzaga
5,1.0196202236037715,Kansas
6,1.0046865950122728,Boise_St
7,0.9892556307101181,Kentucky
8,0.9844098939965144,Houston
9,0.976396432061822,Purdue
10,0.9739186409689425,Arkansas
11,0.971146778549741,UCLA
12,0.9640966149923552,Baylor
13,0.9614243277426177,St_Mary's_CA
14,0.958394807793197,Providence
15,0.9572051416797772,Auburn
16,0.9489196823742005,Colorado_St
17,0.9469158555386775,Duke
18,0.9305993729007581,San_Diego_St
19,0.9232134407568414,Memphis
20,0.9194693474541551,Wisconsin
21,0.9122405899420318,Connecticut
22,0.9118522716120527,Iowa
23,0.9093200161147921,Texas_Tech
24,0.8836628784594802,Illinois
25,0.883615646552855,Davidson
26,0.877724304218609,USC
27,0.8767686530206861,Creighton
28,0.8756876780164115,North_Carolina
29,0.8541716209646055,Murray_St
30,0.8518264141783388,VCU
31,0.845855320991122,Virginia_Tech
32,0.8454773101870773,Texas_A&M
33,0.8400730187983769,SMU
34,0.8324367346979088,Seton_Hall
35,0.8322019701775912,Wyoming
36,0.8309210975083267,S_Dakota_St
37,0.8185189233119456,UAB
38,0.8172746273754281,North_Texas
39,0.8169196506330246,New_Mexico_St
40,0.8016186838668965,San_Francisco
41,0.8011527428635841,Texas
42,0.7984534751700104,Colorado
43,0.7940049811910536,Loyola-Chicago
44,0.7925303117978362,St_Louis
45,0.7921239357196866,Notre_Dame
46,0.7915595394415028,Miami_FL
47,0.7911466365542922,Michigan
48,0.7907262777195547,Chattanooga
49,0.790021463071574,Michigan_St
50,0.7850171545513107,Dayton
51,0.7838243219167875,Alabama
52,0.7790680360100789,Marquette
53,0.776430385516009,LSU
54,0.7751189488582588,Santa_Clara
55,0.7724981785324867,TCU
56,0.7724665869515855,St_Bonaventure
57,0.7683752580193994,Richmond
58,0.7634235335951466,Towson
59,0.746952872640094,Florida
60,0.7467467238114603,Northern_Iowa
61,0.7465112730927527,Drake
62,0.744633176733664,Vermont
63,0.7425551188134497,Rutgers
64,0.7359231187111993,South_Carolina
65,0.7349144457698179,Wake_Forest
66,0.7333960064990172,Princeton
67,0.7324101546741559,Longwood
68,0.7321404115316122,UNLV
69,0.729406133414576,Indiana
70,0.7276636612793116,Virginia
71,0.7271878821348584,Kent
72,0.7250017003531342,Oklahoma
73,0.7243438967450943,Toledo
74,0.7212254973377681,UNC_Wilmington
75,0.7211594098392485,Ohio_St
76,0.7181877132570484,Arizona_St
77,0.7173669596751301,Georgia_St
78,0.7171333071545408,Washington_St
79,0.7151896359326954,Iowa_St
80,0.7116211003827381,Grand_Canyon
81,0.7115565685537558,Montana_St
82,0.7016191954305177,BYU
83,0.7005594087631383,Temple
84,0.6996998696811095,SF_Austin
85,0.6961661197297031,Mississippi_St
86,0.696018724388888,Missouri_St
87,0.6950123545236664,Iona
88,0.6947447242418834,MTSU
89,0.6934201720398154,Oklahoma_St
90,0.6932943950304452,Washington
91,0.6931770755373814,St_John's
92,0.6915540809969298,Oregon
93,0.6898820470717959,Akron
94,0.688422453454995,Furman
95,0.6872917192461051,Texas_St
96,0.6826318087508855,Louisiana_Tech
97,0.6826064482332788,Vanderbilt
98,0.6770035468946026,Utah_St
99,0.6728794940175937,Winthrop
100,0.6701552276279169,St_Peter's
101,0.6687370423905741,Long_Beach_St
102,0.6636113137852816,Tulane
103,0.6613421203737851,Belmont
104,0.6562973899435192,Samford
105,0.6548752704321088,CS_Fullerton
106,0.6513139368956327,Maryland
107,0.651188288973379,Delaware
108,0.6473140927839433,Florida_St
109,0.6453159214575769,Abilene_Chr
110,0.6448861916192816,Clemson
111,0.6416852009031148,Hofstra
112,0.6389595748925235,UCF
113,0.6333606536050289,Fresno_St
114,0.6316298586930791,Syracuse
115,0.6293461790390887,Xavier
116,0.6289141176010966,Bryant
117,0.6279960563207793,Colgate
118,0.6274826424076351,UTEP
119,0.6204294927724728,Seattle
120,0.6192558114983471,Penn_St
121,0.6190734836885704,N_Dakota_St
122,0.6141668730335141,Stanford
123,0.6135794026647577,Yale
124,0.6081115314880475,DePaul
